,Player,Teams,Maps,Rounds,K-D Diff,K/D,Rating2.0,"('<', 'su')","('october 2023', 'mo')","('october 2023', 'tu')","('october 2023', 'we')","('october 2023', 'th')","('october 2023', 'fr')","('>', 'sa')","('november 2023', 'mo')","('november 2023', 'tu')","('november 2023', 'we')","('november 2023', 'th')","('november 2023', 'fr')"
0,m0NESY,G2,5.0,107.0,37.0,1.61,1.44,,,,,,,,,,,,
1,electroNic,Cloud9,6.0,125.0,26.0,1.3,1.36,,,,,,,,,,,,
2,NiKo,G2,5.0,107.0,18.0,1.27,1.28,,,,,,,,,,,,
3,KaiR0N-,BetBoom,6.0,150.0,15.0,1.14,1.27,,,,,,,,,,,,
4,broky,FaZe,10.0,229.0,49.0,1.34,1.26,,,,,,,,,,,,
5,b1t,Natus Vincere,7.0,144.0,34.0,1.37,1.23,,,,,,,,,,,,
6,torzsi,MOUZ,7.0,157.0,36.0,1.4,1.23,,,,,,,,,,,,
7,kRaSnaL,Monte,8.0,181.0,15.0,1.12,1.22,,,,,,,,,,,,
8,rain,FaZe,10.0,229.0,18.0,1.12,1.21,,,,,,,,,,,,
9,jL,Natus Vincere,7.0,144.0,16.0,1.16,1.21,,,,,,,,,,,,
10,sense,Apeks,5.0,109.0,16.0,1.24,1.21,,,,,,,,,,,,
11,siuhy,MOUZ,7.0,157.0,13.0,1.12,1.2,,,,,,,,,,,,
12,EliGE,Complexity,8.0,177.0,15.0,1.13,1.2,,,,,,,,,,,,
13,Grim,Complexity,8.0,177.0,29.0,1.27,1.19,,,,,,,,,,,,
14,DemQQ,Monte,8.0,181.0,15.0,1.14,1.18,,,,,,,,,,,,
15,Spinx,Vitality,4.0,105.0,12.0,1.17,1.18,,,,,,,,,,,,
16,nafany,BetBoom,6.0,150.0,3.0,1.03,1.17,,,,,,,,,,,,
17,br0,Monte,8.0,181.0,23.0,1.2,1.17,,,,,,,,,,,,
18,aliStair,Grayhound,3.0,66.0,2.0,1.04,1.17,,,,,,,,,,,,
19,SunPayus,ENCE,6.0,131.0,12.0,1.15,1.14,,,,,,,,,,,,
20,Magisk,Vitality,4.0,105.0,7.0,1.1,1.14,,,,,,,,,,,,
21,volt,GamerLegion,8.0,185.0,14.0,1.11,1.14,,,,,,,,,,,,
22,frozen,MOUZ,7.0,157.0,13.0,1.15,1.14,,,,,,,,,,,,
23,kyxsan,Apeks,5.0,109.0,8.0,1.11,1.12,,,,,,,,,,,,
24,ZywOo,Vitality,4.0,105.0,5.0,1.07,1.12,,,,,,,,,,,,
25,jkaem,Apeks,5.0,109.0,1.0,1.01,1.12,,,,,,,,,,,,
26,Maden,ENCE,6.0,131.0,-4.0,0.96,1.11,,,,,,,,,,,,
27,sdy,Monte,8.0,181.0,9.0,1.08,1.1,,,,,,,,,,,,
28,afro,fnatic,7.0,151.0,-1.0,0.99,1.09,,,,,,,,,,,,
29,xertioN,MOUZ,7.0,157.0,-5.0,0.95,1.09,,,,,,,,,,,,
30,zorte,BetBoom,6.0,150.0,3.0,1.03,1.09,,,,,,,,,,,,
31,ADDICT,VERTEX,3.0,57.0,0.0,1.0,1.08,,,,,,,,,,,,
32,ropz,FaZe,10.0,229.0,15.0,1.1,1.08,,,,,,,,,,,,
33,jks,G2,5.0,107.0,8.0,1.13,1.08,,,,,,,,,,,,
34,KRIMZ,fnatic,7.0,151.0,11.0,1.1,1.08,,,,,,,,,,,,
35,INS,Grayhound,3.0,66.0,-2.0,0.96,1.08,,,,,,,,,,,,
36,dycha,ENCE,6.0,131.0,-2.0,0.98,1.08,,,,,,,,,,,,
37,HObbit,Cloud9,6.0,125.0,-10.0,0.89,1.07,,,,,,,,,,,,
38,acoR,GamerLegion,8.0,185.0,12.0,1.1,1.07,,,,,,,,,,,,
39,CacaNito,Apeks,5.0,109.0,-13.0,0.85,1.06,,,,,,,,,,,,
40,malta,VERTEX,3.0,57.0,1.0,1.02,1.06,,,,,,,,,,,,
41,hallzerk,Complexity,8.0,177.0,7.0,1.06,1.05,,,,,,,,,,,,
42,Aleksib,Natus Vincere,7.0,144.0,-8.0,0.92,1.04,,,,,,,,,,,,
43,mezii,fnatic,7.0,151.0,-4.0,0.96,1.04,,,,,,,,,,,,
44,Twistzz,FaZe,10.0,229.0,3.0,1.02,1.04,,,,,,,,,,,,
45,huNter-,G2,5.0,107.0,-3.0,0.95,1.03,,,,,,,,,,,,
46,Woro2k,Monte,8.0,181.0,6.0,1.05,1.03,,,,,,,,,,,,
47,Snax,GamerLegion,8.0,185.0,-12.0,0.91,1.03,,,,,,,,,,,,
48,floppy,Complexity,8.0,177.0,-9.0,0.93,1.03,,,,,,,,,,,,
49,s1ren,BetBoom,6.0,150.0,9.0,1.1,1.02,,,,,,,,,,,,
50,Perfecto,Cloud9,6.0,125.0,5.0,1.07,1.01,,,,,,,,,,,,
51,Snappi,ENCE,6.0,131.0,-5.0,0.95,1.0,,,,,,,,,,,,
52,flameZ,Vitality,4.0,105.0,-4.0,0.94,1.0,,,,,,,,,,,,
53,NertZ,ENCE,6.0,131.0,-6.0,0.93,1.0,,,,,,,,,,,,
54,Nexius,MOUZ,7.0,157.0,6.0,1.06,0.99,,,,,,,,,,,,
55,nawwk,Apeks,5.0,109.0,4.0,1.06,0.99,,,,,,,,,,,,
56,roeJ,fnatic,7.0,151.0,-14.0,0.87,0.98,,,,,,,,,,,,
57,Keoz,GamerLegion,8.0,185.0,-24.0,0.83,0.97,,,,,,,,,,,,
58,JT,Complexity,8.0,177.0,-14.0,0.87,0.97,,,,,,,,,,,,
59,sh1ro,Cloud9,6.0,125.0,-7.0,0.91,0.96,,,,,,,,,,,,
60,HooXi,G2,5.0,107.0,-14.0,0.82,0.96,,,,,,,,,,,,
61,dexter,fnatic,7.0,151.0,-17.0,0.84,0.95,,,,,,,,,,,,
62,danistzz,BetBoom,6.0,150.0,-21.0,0.8,0.94,,,,,,,,,,,,
63,Starry,Lynn Vision,3.0,64.0,-7.0,0.86,0.94,,,,,,,,,,,,
64,iM,Natus Vincere,7.0,144.0,-18.0,0.83,0.93,,,,,,,,,,,,
65,isak,GamerLegion,8.0,185.0,-31.0,0.78,0.92,,,,,,,,,,,,
66,Liazz,Grayhound,3.0,66.0,-7.0,0.84,0.9,,,,,,,,,,,,
67,z4kr,Lynn Vision,3.0,64.0,-7.0,0.87,0.88,,,,,,,,,,,,
68,apEX,Vitality,4.0,105.0,-21.0,0.71,0.88,,,,,,,,,,,,
69,Westmelon,Lynn Vision,3.0,64.0,-16.0,0.67,0.83,,,,,,,,,,,,
70,karrigan,FaZe,10.0,229.0,-46.0,0.71,0.83,,,,,,,,,,,,
71,EmiliaQAQ,Lynn Vision,3.0,64.0,-19.0,0.64,0.78,,,,,,,,,,,,
72,Ax1Le,Cloud9,6.0,125.0,-29.0,0.69,0.78,,,,,,,,,,,,
73,Sico,Grayhound,3.0,66.0,-18.0,0.66,0.75,,,,,,,,,,,,
74,Jee,Lynn Vision,3.0,64.0,-16.0,0.67,0.73,,,,,,,,,,,,
75,pz,VERTEX,3.0,57.0,-20.0,0.57,0.64,,,,,,,,,,,,
76,Vexite,Grayhound,3.0,66.0,-27.0,0.49,0.62,,,,,,,,,,,,
77,hazr,VERTEX,3.0,57.0,-30.0,0.39,0.57,,,,,,,,,,,,
78,B1ad3,Natus Vincere,7.0,144.0,-68.0,0.36,0.52,,,,,,,,,,,,
79,BRACE,VERTEX,3.0,57.0,-28.0,0.43,0.45,,,,,,,,,,,,
80,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,,
81,,,,,,,,8.0,9.0,10.0,11.0,12.0,13.0,14.0,,,,,
82,,,,,,,,15.0,16.0,17.0,18.0,19.0,20.0,21.0,,,,,
83,,,,,,,,22.0,23.0,24.0,25.0,26.0,27.0,28.0,,,,,
84,,,,,,,,29.0,30.0,31.0,1.0,2.0,3.0,4.0,,,,,
85,,,,,,,,29.0,,,,,,4.0,30.0,31.0,1.0,2.0,3.0
86,,,,,,,,5.0,,,,,,11.0,6.0,7.0,8.0,9.0,10.0
87,,,,,,,,12.0,,,,,,18.0,13.0,14.0,15.0,16.0,17.0
88,,,,,,,,19.0,,,,,,25.0,20.0,21.0,22.0,23.0,24.0
89,,,,,,,,26.0,,,,,,2.0,27.0,28.0,29.0,30.0,1.0
